Name,Video link,Fin type,Style,Dist,TT,TK,T50,K50,T100,K100,T150,K150,T200,K200,T250,K250,T300,K300,Additions
MALINA Mateusz,https://tv.cmas.org/sportitem/68235031f465e0724b3b9fa8?currenttime=20821.434668,Taras,"continuous, slow kick, medium amp, hip + leg",300,04:55,147,00:45,25,01:36,25,02:30,25,03:22,24,04:10,22,04:54,26,
CHAN Kai-Hsiang,https://tv.cmas.org/sportitem/68235031f465e0724b3b9fa8?currenttime=19503.425274,todo,"continuous, slow kick, small amp, leg",150,03:38,81,01:15,32,02:29,24,03:37,25,,,,,,,
BOURDILA Guillaume,https://tv.cmas.org/sportitem/68235031f465e0724b3b9fa8?currenttime=16616.056437,Taras,"3 kicks glide, strong kick, big-medium-small, hip + leg, monofin turn",284,03:56,121,00:40,24,01:25,22,02:06,20,02:48,20,03:31,20,-,15,
QUESADA Francisco,https://tv.cmas.org/sportitem/68235031f465e0724b3b9fa8?currenttime=16616.056437,Molchanovs,"continuous, small amp, hip + leg",231,02:54,140,00:37,31,01:14,32,01:51,29,02:29,29,-,19,,,
PELES Vanja,https://tv.cmas.org/sportitem/68235031f465e0724b3b9fa8?currenttime=19503.425274,Taras,"continuous, slow kick, medium amp, hip + leg",157,02:20,72,00:44,22,01:29,23,02:12,24,-,3,,,,,
CERIMAGIC Enes,https://tv.cmas.org/sportitem/68235031f465e0724b3b9fa8?currenttime=18448.20048,Taras,"2-3 kicks glide, medium amp, legs ",150,02:15,77,00:45,25,01:32,28,02:15,24,,,,,,,
PAVKOVIC Nenad,https://tv.cmas.org/sportitem/68235031f465e0724b3b9fa8?currenttime=17728.437598,Molchanovs,"3 kicks glide, slow kick, medium amp, hip + leg",243,03:28,94,00:46,19,01:34,17,02:18,16,03:00,17,-,25,,,sprint at the end
BRIANTSEV Mikhail,https://tv.cmas.org/sportitem/68235031f465e0724b3b9fa8?currenttime=20368.279456,Molchanovs,"3 kicks glide, medium amp, legs",243,03:23,99,00:31,20,01:17,20,02:01,21,02:45,20,-,18,,,
LEE Po-Yen,https://tv.cmas.org/sportitem/68235031f465e0724b3b9fa8?currenttime=19957.676901,Cetma,"continuous, high amp, leg kick",257,03:33,136,00:39,26,01:22,26,02:05,26,02:49,26,03:27,28,-,4,
MILOSIC Boris,https://tv.cmas.org/sportitem/68235031f465e0724b3b9fa8?currenttime=18080.16821,Mantra Pers,"5 kick glide, medium amp, hip + leg, no wall push",204,04:11,156,00:55,32,01:49,32,02:39,31,03:26,29,04:11,32,,,4 arm pulls
BOCHENEK Michal,https://tv.cmas.org/sportitem/68235031f465e0724b3b9fa8?currenttime=18080.16821,Taras Pers,"4-5 kick glide, medium amp, hip + leg, monofin turn",250,03:36,120,00:40,20,01:25,23,02:10,23,02:53,24,03:36,30,,,blackout
SOPRONYI Andras,https://tv.cmas.org/sportitem/68235031f465e0724b3b9fa8?currenttime=17000.872018,Molchanovs,"continuous, slow kick, big amp",222,03:10,105,00:44,24,01:22,24,02:08,26,02:47,21,-,10,,,3 arm pulls
MAKSIMOV Aleksandr,https://tv.cmas.org/sportitem/68235031f465e0724b3b9fa8?currenttime=17728.437598,Molchanovs,"continuous, slow kick, medium amp, hip + leg",248,03:58,107,00:47,22,01:35,23,02:24,23,03:13,20,03:58,19,,,
DE WET Anton,https://tv.cmas.org/sportitem/68235031f465e0724b3b9fa8?currenttime=14241.224367,Molchanovs,"6 kicks glide, medium amp, hip + leg",215,03:41,118,00:46,28,01:38,23,02:30,31,03:23,28,-,8,,,
GENERALI Mauro,https://tv.cmas.org/sportitem/68235031f465e0724b3b9fa8?currenttime=20368.279456,Taras,"3 kick glide, small amp, hip + leg",282,04:17,205,00:44,36,01:30,36,02:19,36,03:07,38,03:55,36,-,23,sprint at the end
NYMO Carl-Oscar,https://tv.cmas.org/sportitem/68235031f465e0724b3b9fa8?currenttime=11579.371672,some medium,"continuous, small amp, legs straight, arm pull on lactic",178,03:38,168,01:01,56,02:05,56,03:06,36,-,20,,,,,8 arm pulls
KIM Hakyong,https://tv.cmas.org/sportitem/68235031f465e0724b3b9fa8?currenttime=17728.437598,Taras,"continuous, medium amp, hip + leg",250,03:24,150,00:39,28,01:19,30,02:00,30,02:43,30,03:24,32,,,lmc
SADAN Valentin,https://tv.cmas.org/sportitem/68235031f465e0724b3b9fa8?currenttime=13643.956864,Molchanovs,"continuous, medium amp, hip + leg",187,02:57,109,00:44,30,01:31,29,02:20,36,-,14,,,,,
