Name,STA,DYN,DYNB,DNF
GENERALI Mauro,-,300,282,193
MALINA Mateusz,09:35,326,300,250
MAKSIMOV Aleksandr,09:17,253,254,184
CHAN Kai-Hsiang,08:41,300,270,240
KUBIAK Piotr,08:32,,200,225
KIM Hakyong,07:57,265,250,189
BRIANTSEV Mikhail,07:35,277,266,184
LEE Po-Yen,07:33,254,264,202
QUESADA Francisco,07:23,254,254,217
SOPRONYI Andras,07:16,211,229,183
MILOSIC Boris,07:13,225,234,166
BOCHENEK Michal,07:08,250,200,181
RULAND Fernando,06:53,199,149,166
BOURDILA Guillaume,06:42,306,298,236
NYMO Carl-Oscar,06:29,175,150,163
PAVKOVIC Nenad,06:13,276,243,200
DE WET Anton,06:13,150,192,154
SADAN Valentin,06:12,200,177,134
PELES Vanja,06:07,276,261,227
CERIMAGIC Enes,04:26,226,250,202
ELU Olivier,,277,,203
